odd_id,odd_story_th,odd_story_en
1.1.1,เธอชอบดอกไม้สีขาว,She likes white flowers.
1.1.2,บ้านพักตากอากาศของ <b>กบ</b> ที่ดีต้องมีหนองน้ำ,A good <b>Frog</b> vacation home must have a swamp.
1.1.3,ทำไม? ทำไมฉันไม่เหมือนกิ่งอื่น?,Why? Why am I not like other branches?
1.1.4,ฉันโดดเดี่ยว,I'm lonely
1.1.5,ฉันเป็น <b>ดอกไม้</b> ที่สวยกว่าใคร,I am a <b>Flower</b> that is prettier than anyone.
1.2.1,ก่อนที่ฉันจะเน่าเสีย เก็บฉันมากินก่อนสิ!!,Before I rot Save me to eat first!!
1.2.2,ฉันไม่มีพิษหรอก...ลองดูสิ ฮี่ฮี่~,I'm not poisonous...try it hehe~
1.2.3,หืม?...นี่คือ<b>รอยเท้าไดโนเสาร์</b>จริงหรือ?,Hm?...Are these really <b>Dinosaur footprints</b>?
1.2.4,ขอบคุณที่เก็บฉันจากการจมน้ำ <br>แต่...ฉันลอยน้ำได้นะ,Thank you for saving me from drowning. <br>But... I can float.
1.2.5,ฉันนี่แหละจอมขุดตัวจริง!!!,I'm a real miner!!!
1.2.6,กิ่งอ่อนหน้าใหม่,New limb
1.2.7,ระแวกนี้มีแต่เกาะเล็กๆ,There are only small islands in this area.
1.2.8,ใบไม้ก็อร่อยนะ แต่ดอกไม้อร่อยกว่า,The leaves are delicious but flowers are more delicious
